frame_no,user_position,user_orientation,camera_hit_obj,camera_hit_point,camera_hit_dist,controller_hit_obj,controller_hit_point,controller_hit_distance
10,"(-10.05,3.31,-10.14)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",22.39,Wall North,"(-9.95,3.27,12.25)",21.96
20,"(-10.05,3.31,-10.14)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",22.39,Wall North,"(-9.95,3.27,12.25)",21.96
30,"(-10.05,3.31,-10.14)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",22.39,Wall North,"(-9.95,3.27,12.25)",21.96
40,"(-10.05,3.31,-10.14)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",22.39,Wall North,"(-9.95,3.27,12.25)",21.96
50,"(-10.05,3.31,-10.14)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",22.39,Wall North,"(-9.95,3.27,12.25)",21.96
60,"(-10.05,3.31,-10.14)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",22.39,Wall North,"(-9.95,3.27,12.25)",21.96
70,"(-10.05,3.31,-9.82)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",22.19,Wall North,"(-9.95,3.27,12.25)",21.76
80,"(-10.05,3.31,-9.42)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.79,Wall North,"(-9.95,3.27,12.25)",21.36
90,"(-10.05,3.31,-9.02)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.39,Wall North,"(-9.95,3.27,12.25)",20.96
100,"(-10.05,3.31,-8.62)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",20.99,Wall North,"(-9.95,3.27,12.25)",20.56
110,"(-10.05,3.31,-8.54)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",20.79,Wall North,"(-9.95,3.27,12.25)",20.36
120,"(-10.05,3.31,-8.54)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",20.79,Wall North,"(-9.95,3.27,12.25)",20.36
130,"(-10.05,3.31,-8.98)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.19,Wall North,"(-9.95,3.27,12.25)",20.76
140,"(-10.05,3.31,-9.38)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.59,Wall North,"(-9.95,3.27,12.25)",21.16
150,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Wall North,"(-9.95,3.27,12.25)",21.56
160,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Wall North,"(-9.95,3.27,12.25)",21.56
170,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Wall North,"(-9.95,3.27,12.25)",21.56
180,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Wall North,"(-9.95,3.27,12.25)",21.56
190,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Wall North,"(-9.95,3.27,12.25)",21.56
200,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Wall North,"(-9.95,3.27,12.25)",21.56
210,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Wall North,"(-9.95,3.27,12.25)",21.56
220,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Wall North,"(-9.95,3.27,12.25)",21.56
230,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Wall North,"(-9.95,3.27,12.25)",21.56
240,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Wall North,"(-9.95,3.27,12.25)",21.56
250,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Wall North,"(-9.95,3.27,12.25)",21.56
260,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Wall North,"(-9.94,3.29,12.25)",21.56
270,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Wall North,"(-9.93,3.30,12.25)",21.56
280,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Wall North,"(-9.93,3.30,12.25)",21.56
290,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Wall North,"(-11.28,2.32,12.25)",21.62
300,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Wall North,"(-13.08,1.05,12.25)",21.90
310,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Wall North,"(-14.13,0.33,12.25)",22.16
320,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Wall West,"(-14.21,0.86,2.14)",12.46
330,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Wall West,"(-14.21,0.85,1.77)",12.12
340,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Wall West,"(-14.21,0.78,1.36)",11.77
350,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Wall West,"(-14.21,0.60,1.65)",12.07
360,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Wall West,"(-14.21,0.35,1.88)",12.34
370,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Wall West,"(-14.21,0.17,1.50)",12.04
380,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Wall West,"(-14.21,0.07,1.30)",11.88
390,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Sphere,"(-13.17,0.78,-1.52)",8.80
400,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Sphere,"(-13.17,0.78,-1.52)",8.80
410,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Sphere,"(-13.14,0.76,-1.64)",8.69
420,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Sphere,"(-13.14,0.73,-1.73)",8.62
430,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Sphere,"(-13.14,0.73,-1.73)",8.62
440,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Sphere,"(-13.14,0.73,-1.73)",8.62
450,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Sphere,"(-13.13,0.73,-1.72)",8.64
460,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Sphere,"(-13.13,0.72,-1.67)",8.69
470,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Sphere,"(-13.12,0.72,-1.64)",8.72
480,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Sphere,"(-13.12,0.72,-1.64)",8.72
490,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Sphere,"(-9.91,3.31,-9.25)",0.07
500,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Ground,"(-14.02,0.00,0.50)",11.15
510,"(-10.05,3.31,-9.74)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.99,Ground,"(-14.02,0.00,0.51)",11.17
520,"(-10.05,3.31,-9.60)","(0.00,0.00,1.00)",Wall North,"(-10.05,3.31,12.25)",21.89,Ground,"(-14.03,0.00,0.62)",11.18
530,"(-10.05,3.31,-9.20)","(0.00,0.00,1.00)",Sphere,"(-10.05,3.31,-9.20)",0.04,Ground,"(-14.03,0.00,1.02)",11.18
540,"(-10.05,3.31,-8.80)","(0.00,0.00,1.00)",Sphere,"(-10.05,3.31,-8.74)",0.10,Ground,"(-14.03,0.00,1.42)",11.18
550,"(-10.05,3.31,-8.40)","(0.00,0.00,1.00)",Sphere,"(-10.05,3.31,-8.27)",0.17,Ground,"(-14.03,0.00,1.83)",11.19
560,"(-10.05,3.31,-8.00)","(0.00,0.00,1.00)",Sphere,"(-10.05,3.31,-7.81)",0.23,Ground,"(-14.03,0.00,2.23)",11.19
570,"(-10.05,3.31,-7.58)","(0.00,0.00,1.00)",Sphere,"(-10.05,3.31,-7.31)",0.31,Ground,"(-14.03,0.00,2.65)",11.19
580,"(-10.05,3.31,-7.18)","(0.00,0.00,1.00)",Sphere,"(-10.05,3.31,-6.83)",0.39,Ground,"(-14.03,0.00,3.05)",11.19
590,"(-10.05,3.31,-6.78)","(0.00,0.00,1.00)",Sphere,"(-10.05,3.31,-6.36)",0.46,Sphere,"(-9.89,3.33,-6.35)",0.04
600,"(-10.05,3.31,-6.38)","(0.00,0.00,1.00)",Sphere,"(-10.05,3.31,-5.88)",0.54,Sphere,"(-9.92,3.31,-5.88)",0.12
610,"(-10.05,3.31,-5.98)","(0.00,0.00,1.00)",Sphere,"(-10.05,3.31,-5.39)",0.63,Sphere,"(-9.95,3.28,-5.41)",0.20
620,"(-10.05,3.31,-5.58)","(0.00,0.00,1.00)",Sphere,"(-10.05,3.31,-4.90)",0.72,Sphere,"(-9.98,3.26,-4.94)",0.28
630,"(-10.05,3.31,-5.18)","(0.00,0.00,1.00)",Sphere,"(-10.05,3.31,-4.41)",0.81,Sphere,"(-10.01,3.23,-4.47)",0.36
640,"(-10.05,3.31,-4.78)","(0.00,0.00,1.00)",Sphere,"(-10.05,3.31,-3.90)",0.91,Sphere,"(-10.05,3.21,-4.00)",0.44
650,"(-10.05,3.31,-4.38)","(0.00,0.00,1.00)",Sphere,"(-10.05,3.31,-3.39)",1.03,Sphere,"(-10.08,3.18,-3.53)",0.52
660,"(-10.24,3.31,-4.04)","(0.00,0.00,1.00)",Sphere,"(-10.18,3.31,-2.97)",1.12,Sphere,"(-10.23,3.16,-3.15)",0.59
670,"(-10.52,3.31,-3.75)","(0.00,0.00,1.00)",Sphere,"(-10.46,3.31,-2.60)",1.21,Sphere,"(-10.54,3.14,-2.81)",0.65
680,"(-10.80,3.31,-3.47)","(0.00,0.00,1.00)",Sphere,"(-10.75,3.31,-2.21)",1.31,Sphere,"(-10.84,3.13,-2.48)",0.71
690,"(-10.96,3.31,-3.07)","(0.00,0.00,1.00)",Sphere,"(-10.96,3.31,-1.60)",1.51,Sphere,"(-11.08,3.10,-1.99)",0.79
700,"(-10.96,3.31,-2.67)","(0.00,0.00,1.00)",Wall North,"(-10.96,3.31,12.25)",14.96,Sphere,"(-11.11,3.08,-1.52)",0.87
710,"(-10.96,3.31,-2.27)","(0.00,0.00,1.00)",Wall North,"(-10.96,3.31,12.25)",14.56,Sphere,"(-11.14,3.05,-1.05)",0.94
720,"(-10.96,3.31,-1.87)","(0.00,0.00,1.00)",Wall North,"(-10.96,3.31,12.25)",14.16,Sphere,"(-11.17,3.03,-0.58)",1.03
730,"(-10.96,3.31,-1.47)","(0.00,0.00,1.00)",Wall North,"(-10.96,3.31,12.25)",13.76,Sphere,"(-11.20,3.01,-0.11)",1.11
740,"(-10.96,3.31,-1.07)","(0.00,0.00,1.00)",Wall North,"(-10.96,3.31,12.25)",13.36,Sphere,"(-11.23,2.98,0.36)",1.19
750,"(-10.96,3.31,-0.67)","(0.00,0.00,1.00)",Wall North,"(-10.96,3.31,12.25)",12.96,Sphere,"(-11.26,2.96,0.83)",1.27
760,"(-10.96,3.31,-0.27)","(0.00,0.00,1.00)",Wall North,"(-10.96,3.31,12.25)",12.56,Sphere,"(-11.29,2.93,1.30)",1.34
770,"(-10.96,3.31,0.13)","(0.00,0.00,1.00)",Wall North,"(-10.96,3.31,12.25)",12.16,Sphere,"(-11.32,2.91,1.77)",1.43
780,"(-10.96,3.31,0.52)","(0.00,0.00,1.00)",Wall North,"(-10.96,3.31,12.25)",11.76,Sphere,"(-11.35,2.89,2.24)",1.51
790,"(-10.96,3.31,0.93)","(0.00,0.00,1.00)",Wall North,"(-10.96,3.31,12.25)",11.36,Sphere,"(-11.38,2.86,2.71)",1.59
800,"(-10.96,3.31,1.21)","(0.00,0.00,1.00)",Wall North,"(-10.96,3.31,12.25)",11.04,Sphere,"(-11.42,2.83,3.12)",1.69
810,"(-10.96,3.31,1.21)","(0.00,0.00,1.00)",Wall North,"(-10.96,3.31,12.25)",11.04,Sphere,"(-11.42,2.83,3.12)",1.69
820,"(-10.96,3.31,1.21)","(0.00,0.00,1.00)",Wall North,"(-10.96,3.31,12.25)",11.04,Sphere,"(-11.42,2.83,3.12)",1.69
830,"(-10.96,3.31,1.21)","(0.00,0.00,1.00)",Wall North,"(-10.96,3.31,12.25)",11.04,Sphere,"(-11.42,2.83,3.12)",1.69
840,"(-10.96,3.31,1.21)","(0.00,0.00,1.00)",Wall North,"(-10.96,3.31,12.25)",11.04,Sphere,"(-11.42,2.83,3.12)",1.69
850,"(-11.14,3.31,1.20)","(-0.04,0.00,1.00)",Wall North,"(-11.29,3.31,12.25)",11.05,Sphere,"(-11.55,2.84,3.10)",1.68
860,"(-11.54,3.31,1.17)","(-0.12,0.00,0.99)",Wall North,"(-12.62,3.31,12.25)",11.13,Sphere,"(-12.11,2.83,3.02)",1.68
870,"(-11.77,3.31,1.13)","(-0.17,0.00,0.99)",Wall North,"(-13.70,3.31,12.25)",11.28,Sphere,"(-12.56,2.83,2.94)",1.69
880,"(-11.77,3.31,1.13)","(-0.17,0.00,0.99)",Wall North,"(-13.70,3.31,12.25)",11.28,Sphere,"(-12.56,2.83,2.94)",1.69
890,"(-11.79,3.31,1.21)","(-0.17,0.00,0.99)",Wall North,"(-13.70,3.31,12.25)",11.28,Sphere,"(-12.56,2.83,2.94)",1.69
